id,proverb,meaning,wrong1,wrong2,wrong3,category
182,"उत्ता न पत्ता, जाऊँ कलकत्ता",थाहा नै नभएको ठाउँको यात्रा गर्न खोज्नु ।,कुनै पनि दिशामा हिँड्न सकिन्छ,कलकत्ता जानु भनेको उल्टो दिशा जानु हो,कलकत्तामा गएपछि सबै समस्या समाधान हुन्छ,Fate and Caution
183,"अदब काइदा गर्नु, गजब फाइदा भिक्नु",थोरै विचारले नाफा गर्नु ।,अदब काइदा गर्दा सधैं घाटा हुन्छ,अदब काइदा गर्नेले कहिल्यै फाइदा पाउँदैन,अदब काइदा गर्दा अरूले धोका दिन्छन्,Social Behavior and Relationships
184,अधर्मीको धन पाँच वर्ष कि सात वर्ष,धेरै टिक्दैन ।,अधर्मीको धन सधैं बढिरहन्छ,अधर्मीले धन सधैं जोगाउँछ,अधर्मीको धन कहिल्यै हराउँदैन,Fate and Caution
185,अघिका जोगी मठ उजाड,जोगीले पनि बिगार्न सक्छ ।,पहिलेका जोगीले मठ बिगारे,जोगीहरूको कारण मठको अस्तित्व समाप्त भयो,पुराना जोगीहरू मठमा बस्न योग्य थिएनन्,Fate and Caution
186,अनायका विनश्यन्ति नश्यन्ति बहुनायक,"नायक नभए पनि विनाश हुन्छ, धेरै नायक भए पनि नाश हुन्छ ।",अनायासै सबै कुरा राम्रो हुन्छ,धेरै नायक हुँदा सबै कुरा राम्रो हुन्छ,धेरै नेता हुँदा सफलता प्राप्त हुन्छ,Social Behavior and Relationships
187,"अनिकालको तोरी, सहकालको जौं",समयअनुसारको अन्न ।,अनिकालमा तोरीको कुनै मूल्य हुँदैन,सहकालमा जौंको कुनै महत्व हुँदैन,अनिकालमा तोरीले समस्या समाधान गर्न सक्दैन,Fate and Caution
188,अनिकालको बिरालोले जौंको सातु पनि बुक्याउँछ,बाँच्नै पर्यो ।,अनिकालको बिरालोले कहिल्यै खान्न,बिरालोले मात्र जौंको सातु खान्छ,अनिकाल हुँदा बिरालोले खान पाउँदैन,Fate and Caution
189,"अनिकालका छोरा-छोरी, नुनको फाँका हाल्छन्",कुलक्षिणी हुनु,अनिकालमा जन्मेका बच्चाहरू नुन मात्र खान्छन्,अनिकालमा जन्मेका बच्चाहरू नुन खाएर बाँच्न सक्छन्,अनिकालमा बच्चाहरू नुनको महत्व बुझ्दैनन्,Fate and Caution
190,अनिष्टबाट पनि इष्टलाभ हुन सक्छ,नपत्याउँदा पनि काम बन्ने ।,अनिष्ट हुँदा सधैं हानी मात्र हुन्छ,इष्टलाभको सम्भावना कहिल्यै हुँदैन,अनिष्ट भनेको सधैं नकारात्मक परिणाम हो,Fate and Caution
191,"अनुहार र दनुवार, बिग्रेको जाँडको धेरै निगार",नमिल्ने काम ।,अनुहार र दनुवार सधैं राम्रा हुन्छन्,बिग्रेको जाँड पिउनु स्वास्थ्यका लागि राम्रो हुन्छ,अनुहार र दनुवारको कुनै फरक हुँदैन,Social Behavior and Relationships
192,अनुहारबाटै मान्छे चिनिन्छ,अड्कल गर्नु ।,मान्छेको क्षमता अनुहारबाट थाहा हुन्छ,राम्रो अनुहार भएकै मान्छे असल हुन्छ,अनुहार हेरेरै मान्छेको भविष्य बताउन सकिन्छ,Social Behavior and Relationships
193,अन्धाको नाम नेत्रप्रसाद,नसुहाउँदो कुरा,अन्धो मान्छेले पनि राम्रो देख्न सक्छ,नेत्रप्रसाद नाम भएकाहरू सबै अन्धा हुन्छन्,अन्धो भए पनि नामको अर्थले दृष्टि दिन सक्छ,Social Behavior and Relationships
194,"अन्धा गुरु बहिरो चेला, माग्यो गुँद ल्यायो ढेला",सबै उल्टो हुनु ।,गुरु र चेला दुवै असक्षम छन्,गुँद र ढेला एउटै कुरा हो,मागेको कुरा कहिल्यै पाइँदैन,Fate and Caution
195,"अन्धो मुसालाई थोत्रो जौं, जसो भन्यो उसै लौ",थाहा नभएको काम कुरा ।,अन्धो मुसाले जति खोजे पनि केही पाउँदैन,"जसो भन्यो, त्यस्तै हुन्छ भन्ने प्रमाण छैन",थोत्रो जौं पाउनु भनेको खराब भाग्य हो,Fate and Caution
196,अन्न खानु तर बिउ जोगाउनु,बिउको ठूलो महत्त्व छ ।,अन्न खानु तर बिउ फाल्नु,अन्न खानु तर बिउ बिगार्नु,अन्न खानु तर बिउ बेच्नु,Fate and Caution
197,"अन्न पानीको जिउ, खान खोज्छ घिउ",ताकत लाग्ने कुरा खोज्नु,अन्न पानी खाएर पनि घिउ मात्र चाहन्छ,"जिउले अन्न पानी मात्र खान सक्छ, घिउ चाहिँ खान सक्दैन","जिउलाई अन्न पानीले मात्र पुग्दैन, घिउले मात्र बाँच्छ",Social Behavior and Relationships
198,"अन्यायको धन, कहिल्यै मेरो नभन",बढी नरहने भएर ।,अन्यायको धन सधैं टिक्छ,अन्यायको धनले मात्र सफलता मिल्छ,अन्यायको धन सधैं आफ्नो हुनुपर्छ,Fate and Caution
199,"अब्जस्याही राँडका, निधारमा लिखा",जस नपाउने नारी ।,अब्जस्याही राँडका निधारमा केही लेखिएको छैन,निधारमा लेखिएको कुरा सधैं गलत हुन्छ,निधारमा लेखिएको कुरा परिवर्तन गर्न सकिन्छ,Fate and Caution
200,अफिम कि खान्छ अमिरले कि खान्छ गरिबले,ठूलो सानोको कुरा ।,अफिम खानु स्वास्थ्यको लागि राम्रो हुन्छ,अफिम खानाले मानिस धनी हुन्छ,अफिम खानु सबैका लागि अनिवार्य छ,Social Behavior and Relationships
201,अङ्गार खाई तेजावी हगाइ,नचाहिँदो फुर्ति गर्नु ।,अङ्गार खाएर तेजाब फालिन्छ,अङ्गार खाँदा पेटमा तेजाब बन्छ,अङ्गार खाएपछि तेजाब पिउनु पर्छ,Fate and Caution
202,"अङ्गारभन्दा कालो, दस ठाउँमा टालो",नमिलेको अवस्था ।,अत्यन्तै सफा र सुन्दर हुनु,सधैं सफल हुनु,सबैले प्रशंसा गर्नु,Social Behavior and Relationships
203,अनुहार न दनुवार पोइ खोज्न थाली,रूपै नभएर पनि लोग्ने खोज्ने भनेर खिसी गर्नु ।,अनुहार नभए पनि पोइ भेटिन्छ,"अनुहारको कुनै महत्व छैन, पोइ त जसरी पनि पाइन्छ",अनुहार राम्रो नभए पनि पोइ सजिलै पाइन्छ,Social Behavior and Relationships
204,अँधेरी रातमा अघुल्टो,अमरका बेला सानै वस्तु पनि उपयोगी हुन्छ,अँधेरी रातमा यात्रा गर्न सजिलो हुन्छ,अँधेरी रातमा अघुल्टो फाल्नु राम्रो हुन्छ,अँधेरी रातमा सबै कुरा स्पष्ट देखिन्छ,Fate and Caution
205,अँधेराको घर भुतको डेरा,एकान्त ठाउँमा घर बनाउँदा तेस्तै हुन्छ ।,घरमा बत्ती बाल्न नपुग्दा भूतहरू आउने गर्छन्,अँध्यारो घरमा बस्ने मानिसहरू भूत बन्छन्,भूतहरूले अँध्यारो घरलाई आफ्नो घर बनाउँछन्,Fate and Caution
206,अँधेरो घरमा डा नाँच्छन्,अँधेरो ठाउँमा तेस्तैले फाइदा लिन्छ,डा मात्र अँधेरोमा नाच्न सक्छन्,अँधेरो घरमा नाच्न डा नै चाहिन्छ,उज्यालो घरमा डा नाच्न सक्दैनन्,Fate and Caution
207,अँधेरोमा झटारो हान्नु,केही पनि नसोची काम गर्नु,अँध्यारोमा हात हल्लाउनु,अनावश्यक रूपमा झगडा गर्नु,अँध्यारोमा कसैलाई चोट पुर्याउनु,Fate and Caution
208,"अँधेरोमा मस्तारामं, उज्यालोमा सीताराम",बेलामा काम नगर्ने र पछि पछुताउने ।,"अँधेरोमा मानिसले राम्रो देख्न सक्दैन, उज्यालोमा मात्र राम्रो देख्छ","अँधेरोमा मानिस मस्त हुन्छ, उज्यालोमा धार्मिक हुन्छ","अँधेरोमा मानिस निदाउँछ, उज्यालोमा उठेर पूजा गर्छ",Social Behavior and Relationships
209,आँगन टोपी सिपाही नाम,पोसाकविनाको धक्कु ।,सिपाहीले टोपी मात्र लगाउँछ,आँगनमा टोपी राख्दा सिपाही हुन्छ,सिपाहीको नाम आँगन टोपी हो,Social Behavior and Relationships
210,"अङ्गको नाउमा वंशको हंस, मरेपछि पनि पछ्याइ रहन्छ",वंशको कचेडाले मृत्युपछि पनि तर्साउने ।,वंशको हंसले मरेपछि पनि आफ्नो अङ्ग गुमाउँछ,मरेपछि हंसले वंशलाई बचाउँछ,हंसको वंशले मरेपछि पनि उसलाई पछ्याउँछ,Social Behavior and Relationships
211,अङ्ग न वंश भाइमारी मंस,भाइ मारेर खानु जस्तै ।,वंश नभएकोले मंसको खेती राम्रो हुन्न,अङ्ग नभए पनि वंशको मंस खान मिल्छ,मंस नखाए वंश समाप्त हुन्छ,Social Behavior and Relationships
212,"अकलमन्दलाई इशारा, मूर्खलाई फटकारा",मूर्खलाई इसारा काम छैन ।,अकलमन्दलाई इशारा गर्दा उसले बुझ्दैन,मूर्खलाई फटकार्दा उसले तुरुन्तै सुधार गर्छ,अकलमन्दलाई फटकार्दा मात्र उसले काम गर्छ,Wisdom and Knowledge
213,अकाल मृत्युको सुकाल गति हुँदैन,अकालमा मृत्यु भएमा गति नपाउनु ।,अकाल मृत्यु हुनेले सधैं सुख पाउँछ,अकाल मृत्युले जीवन लामो बनाउँछ,अकाल मृत्यु भनेको राम्रो भाग्य हो,Fate and Caution
214,"अकालमा जिउ जाला भनेर द्यौता मान्नु, अन्यायमा धन जाला भनेरा राजा मान्नु",जोगिने उपायको खोजी गर्नु ।,अकालमा जिउ जाला भनेर डराउनु,अन्यायमा धन जाला भनेर धनको पूजा गर्नु,अकालमा जिउ जाला भनेर भाग्यलाई दोष दिनु,Fate and Caution
215,अकाशवृष्टिले कति दिन चल्ला,अरूको मात्र सधैँ भरपर्नु हुँदैन ।,आकाशबाट पानी परिरहन्छ भने कहिल्यै रोकिँदैन,आकाशमा परेका बादलहरू कहिल्यै हट्दैनन्,आकाशवृष्टि हुँदा संसार नै समाप्त हुन्छ,Fate and Caution
216,अरूण वरुण भसेलै परुन्,आफ्नो गतबाट गएपछि जे सुकै होस्,अरूण र वरुणले एकै समयमा डुबुल्की मारून्,अरूण र वरुणले परदेश जाऊन्,अरूण र वरुणले आपसमा झगडा गरून्,Fate and Caution
217,अरूको कुरा फारफेर मेरो कुरा ठाडै छेर,मेरो काम छिट्टै हुनुपर्छ भन्नु ।,अरूको कुरा सुनेर पनि ध्यान नदिने,अरूको कुरा सुनेर झगडा गर्ने,अरूको कुरा नसुनीकन सधैं आफ्नो कुरा मात्र गर्ने,Social Behavior and Relationships
218,अरू कुरा छोडी देऊ मेरो तुम्बा भरिदेऊ,आफ्नो स्वार्थ मात्र हेर्नु,"तुम्बा खाली छ, अरू कुरा गर्न जरूरी छैन",अरूले कुरा गर्दा ध्यान नदिनु,"अरूको कुरा सुन्नु बेकार छ, आफ्नो काम गर",Social Behavior and Relationships
219,"अरूको खुट्टाले कति दिन हिँड्ने, आफ्नो खुट्टाले हिँड्ने पो हिँड्ने",स्वाबलम्बी हुनुपर्छ ।,अरूको खुट्टा मागेर हिँड्न सकिन्छ,आफ्नो खुट्टा भए पनि हिँड्न सकिँदैन,अरूको खुट्टाले सधैं हिँड्न सकिन्छ,Hard Work and Perseverance
220,अरूको घरको मेजमानभन्दा आफ्नो घरको सिस्न ढिंडो नै मिठो,सन्तोषी हुनु ।,अरूको घरमा कहिल्यै जानु हुँदैन,सिस्न ढिंडो अरू खानाभन्दा सधैं राम्रो हुन्छ,अरूको मेजमानले जहिले पनि नराम्रो व्यवहार गर्छ,Social Behavior and Relationships
221,"अरूको के दाउ, चोरको चोर्ने दाउ",एक चित्त हुनु ।,अरूको खेल हेरेर चोरले सिक्न खोज्छ,चोरले अरूको योजना चोर्छ,चोरले अरूको दाउलाई आफ्नो बनाउँछ,Social Behavior and Relationships
222,अरूको घडी डुब्न लाग्यो मेरोचाहिँ कराई डुब्न लाग्यो,आफ्नै धुन ।,अरूको घडी बिग्रियो भने मेरो पनि घडी बिग्रिन्छ,अरूको घडी हरायो भने मेरो कराई हराउँछ,अरूको घडी चल्न छोड्यो भने मेरो कराई पनि चल्न छोड्छ,Fate and Caution
223,"अरू पछि अन्त, कात्तिक र चैतमा जन्त",बेसमयमा काम गर्नु ।,जन्तुहरू कात्तिक र चैतमा मात्र जन्मन्छन्,अन्य महिना जन्तीहरू निषेध गरिन्छन्,अन्त्यमा मात्र जन्तीहरू आउँछन्,Fate and Caution
224,अरूलाई कामको धन्दा घर ज्वाइँलाई खानैको धन्दा,स्वार्थी मान्छे ।,घर ज्वाइँले अरूको काम गर्नुपर्छ,अरूले काम गर्दा घर ज्वाइँले सहयोग गर्नुपर्छ,घर ज्वाइँले काम नगरी बस्न पाउँदैन,Social Behavior and Relationships
225,"अरूलाई पातमा, हत्तपत्तेलाई हातमा",हतार गर्नेलाई भनेजस्तो हुँदैन ।,अरूलाई पातमा राखेर खान दिनु,हत्तपत्तेलाई हातमा समातेर राख्नु,अरूलाई पातमा राखेर सजाउनु,Social Behavior and Relationships
226,अरूले गीत गाएको र हाम्रोले मुख मात्र आँ गरेको,आफ्नो मान्छे ठूलो भनेको ।,अरूले गीत गाए भने हाम्रो मुख खोल्न नपाइने,हाम्रो मुखले गीत गाउन सक्दैन,अरूले गाएपछि हामीले मात्र हेरिरहनु पर्छ,Social Behavior and Relationships
227,अरूले तपाईं भनोस् नभनोस् आफैँ मपाई,आफ्नो धाक आफैँ लाउने ।,"अरूले केही भनून् या नभनून्, आफूले सधैं गलत निर्णय लिनुपर्छ","अरूको सल्लाह कहिल्यै मान्न हुँदैन, आफैँ सबैथोक जान्नुपर्छ","आफूले मात्र सबै कुरा गर्नुपर्छ, अरूले केही गर्न सक्दैनन्",Social Behavior and Relationships
228,अर्काको रोटीको बाक्लो फेरो,ईर्ष्या गर्नु ।,अरूको रोटी सधैं मिठो हुन्छ,अरूको रोटी सधैं नराम्रो हुन्छ,अरूको रोटी सधैं सस्तो हुन्छ,Social Behavior and Relationships
229,अर्काको बाउको क्रिया गर्दा घिउ भातमा दाउ,पिर नपर्नु ।,अर्काको बाउको काम गर्दा सधैं फाइदा हुन्छ,अरूको काम गर्दा सजिलै सफल भइन्छ,अरूको काम गर्दा सधैं राम्रो परिणाम आउँछ,Social Behavior and Relationships
230,अर्काको बाउको क्रिया गर्दा कन्दनीमा नुन बाँधेर,लुकाएर खान खोज्ने ।,अरूको बाउको क्रिया गर्दा नुन साट्नुपर्छ,कन्दनीमा नुन राखेर क्रिया गर्नुपर्छ,बाउको क्रिया गर्दा नुनको व्यापार हुन्छ,Social Behavior and Relationships
231,"अर्काकी स्वास्नी मातासरी, अर्काको धन माटोसरी",लोभ नगर्नु,अर्काकी स्वास्नीलाई सम्मान गर्नुपर्छ,अरूको धनले मात्र जीवन चलाउनुपर्छ,अरूको धन बचत गर्नुपर्छ,Social Behavior and Relationships
232,"राजाको काम, कहिले जाला घाम",ठग्ने मान्छे ।,राजाले काम गर्दा सधैं घाम लाग्छ,राजाको कामले घामलाई रोक्न सक्छ,घाम लाग्नासाथ राजाले काम गर्न छोड्छ,Fate and Caution
233,"अर्कालाई कुटी पर, आफ्नो कुटी वर",आफ्नो भनेको आफ्नै हो ।,अर्कालाई कुट्दा आफ्नो घर बलियो हुन्छ,अरूलाई हानी पुर्‍याउँदा आफूलाई फाइदा हुन्छ,अरूलाई पीडा दिएर आफू सुरक्षित रहन्छ,Social Behavior and Relationships
234,"अर्काको खाँदा गान बजान, आफ्नो खाँदा ढोका तान",आफ्नो भने लुकेर खाने ।,अरूले खाँदा गीत गाएर स्वागत गर्नुपर्छ,आफ्नो खाँदा ढोका बन्द गर्नुपर्छ,अरूले खाँदा गान बजाउनु अनिवार्य छ,Social Behavior and Relationships
235,"अर्काको चोरी, छोरी र जोरीसँग बच्नु",यिनीहरूसँग होस् गर्नुपर्छ ।,अर्काको चोरलाई समर्थन गर्नुपर्छ,छोरीलाई सधैं नजरअन्दाज गर्नुपर्छ,जोरीसँग सधैं झगडा गर्नुपर्छ,Social Behavior and Relationships
236,अर्काको टाउकोमा गट्टा खेल्न सजिलो हुन्छ,अर्कालाई दलेर खाने बानी |,अरूले गट्टा खेल्न सजिलो हुन्छ,अरूको टाउकोमा खेल्न राम्रो हुन्छ,अरूलाई गट्टा खेल्न सिकाउन सजिलो हुन्छ,Social Behavior and Relationships
237,"अर्काको बारीमा साग छ, मुटु मिचेर नै लाग्छ",डाहा गर्ने बानी ।,अरूको बारीमा साग छ भने चोर्न जानु पर्छ,अरूको सम्पत्ति हेरेर ईर्ष्या गर्नु पर्छ,अरूको बारीमा साग देख्दा आफ्नो बारीको वास्ता गर्न छोड्नु पर्छ,Social Behavior and Relationships
238,अर्कालाई एउटा औँला तेर्स्याउँदा चार औँला आफैँपट्टि फर्केको हुन्छ,अरूलाई दोष लाउनेले आफ्नो पनि दोष हेर्नुपर्छ ।,अर्कालाई औँला तेर्स्याउँदा चार पटक गल्ती हुन्छ,औँला तेर्स्याउँदा चारवटा औँला हराउँछन्,औँला तेर्स्याउँदा चार जनाले साथ दिन्छन्,Social Behavior and Relationships
239,अर्कालाई खनेको खाल्डोमा आफैँ परिन्छ,अरूको कुभलो गर्ने मान्छे आफैँ फेला पर्छ ।,अर्काले खनेको खाल्डोमा अरूलाई धकेल्नुपर्छ,खाल्डो खनेपछि त्यसमा बस्नुपर्छ,खाल्डो खनेपछि फल पाइन्छ,Fate and Caution
240,अर्कालाई दिऊँ त मै मरि जाऊँ,कन्जुस्याइँ गर्नु ।,अर्कालाई केही दिनु भनेको आफैँलाई नोक्सान गर्नु हो,अरूलाई सहयोग गर्दा आफैँलाई हानी हुन्छ,अरूलाई केही दिनु भनेको आफ्नो जीवन समाप्त गर्नु हो,Social Behavior and Relationships
241,"अर्कालाई पठाए आधा काम, आफैँ गए पूरा काम",आफैँले जस्तो अरूले हुँदैन ।,"अर्कालाई पठाए काम बिग्रन्छ, आफैँ गए काम बिग्रन्छ","अर्कालाई पठाए काम दोब्बर हुन्छ, आफैँ गए काम आधा हुन्छ","अर्कालाई पठाए कामै हुँदैन, आफैँ गए काम सुरु हुँदैन",Hard Work and Perseverance
242,अर्कालाई लुट्नेलाई एकदिन भगवान्‌ले लुट्छन्,परमेश्वरले नदेखेको कहाँ छ र !,अर्कालाई माया गर्नेले भगवान्‌को माया पाउँछ,भगवान्‌ले सधैं सबैलाई लुट्छन्,भगवान्‌ले कहिल्यै कसैलाई लुट्दैनन्,Fate and Caution
243,अर्काले एउटा गालामा हाने अर्को गाला पनि थाप्नु,सहनशील बन्नु,अरूले हिर्काउँदा चुपचाप सहनु,आफूमाथि अन्याय हुँदा पनि प्रतिकार नगर्नु,कमजोर भएर अरूको अत्याचार सहनु,Social Behavior and Relationships
244,"अर्काको हातको खाने घिचुवा, अर्काको ओछ्यानमा सुत्ने पदुवा",अल्छी नामर्द मान्छे ।,अर्काको हातको घिचुवा स्वादिलो हुन्छ,अरूको ओछ्यानमा सुत्दा राम्रो निद्रा लाग्छ,अरूको सम्पत्ति प्रयोग गर्दा सजिलो हुन्छ,Social Behavior and Relationships
245,अर्घेली छेस् बुहारी पाहुनासँग सुत्न जा,बुहारी नक्कली भएर भनेको ।,बुहारी पाहुनासँग सुत्न जानु राम्रो हो,पाहुनासँग नजिक हुनु उचित छ,पाहुनाको हेरचाह नगर्नु ठीक हो,Social Behavior and Relationships
246,"अर्घेली नगर्नु, पुख्यौली नछोड्नु",पुर्खाको इज्जत राख्नु,"अर्घेली नगर्नु, पुख्यौली छोड्नु","अर्घेली गर्नु, पुख्यौली नछोड्नु","अर्घेली गर्नु, पुख्यौली छोड्नु",Social Behavior and Relationships
247,अर्ती अर्काको आँटा आफ्नो,अर्काको पनि कुरा सुन्नुपर्छ तर आफ्नो सुर गर्नुपर्छ ।,अरूले पिसेको आँटा आफ्नो भन्नु,अरूको धन आफ्नो ठान्नु,अरूको परिश्रमको फल आफ्नो मानेर खानु,Social Behavior and Relationships
248,अर्ती दिनेले आफू धरती जस्तै हुनुपर्छ,अरूलाई सिकाउने मान्छेका धेरै खुबी हुनुपर्छ ।,अर्ती दिनेले आफूले भनेको कुरा कहिल्यै मान्नुपर्दैन,अर्ती दिनेले सधैं अरूलाई दबाउनुपर्छ,अर्ती दिनेले आफूलाई कहिल्यै परिवर्तन गर्नुपर्दैन,Social Behavior and Relationships
249,"अर्थ न बर्थ गोविन्द गाई, माइतैमा बसी छोरो पाई",बेतुकका कुरा गर्नु ।,गोविन्द गाई भनेको कुनै विशेष जातको गाई हो,माइतमा बस्दा मात्र छोरो पाइन्छ,गोविन्द गाईको दूध खाँदा छोरो जन्मिन्छ,Fate and Caution
250,"अर्ध रोग हरे निन्द्रा, सर्व रोग हरे क्षुधा",आधा रोगले निद्रा हर्छ पूरै रोगले भोक हर्छ ।,निन्द्रा गर्दा सबै रोग ठीक हुन्छ,भोक लाग्दा सबै रोग बिग्रन्छ,धेरै सुत्नाले रोग बढ्छ,Wisdom and Knowledge
251,अलच्छिनीलाई सधैँभरि बिच्छुक,कहिल्यै काम नबन्ने,अलच्छिनीलाई सधैँभरि बिच्छुक हुन्छ भन्ने कुरा सत्य हो,अलच्छिनीले कहिल्यै राम्रो गर्न सक्दिन,बिच्छुक हुनु भनेको सधैँ नराम्रो हुनु हो,Fate and Caution
252,"अग्लो निको पानी छान्दो, भलो निको माठ जान्दो",असल मान्छेले राम्रो गर्छ ।,अग्लो ठाउँमा पानी कहिल्यै नपाइन्छ,राम्रो मान्छेले कहिल्यै गल्ती गर्दैन,उचाइले मात्र मानिसको गुण निर्धारण गर्छ,Social Behavior and Relationships
253,अल्छीका ओठमा आहानका झुप्पा,अल्छीले कुरा मात्र धेर गर्छ,अल्छी मान्छेले धेरै काम गर्छ,अल्छी मान्छेले सधैं सत्य बोल्छ,अल्छी मान्छेले कहिल्यै बहाना बनाउँदैन,Hard Work and Perseverance
254,"अल्छी कुमालेले हाँडी, गाग्रा फुटेको हल्ला गर्छ",कुरा नै धेरै गर्ने ।,कुमालेले जानाजानी हाँडी फुटाउँछ,हाँडी र गाग्रा बनाउनु सजिलो छ,कुमालेले कहिल्यै राम्रो हाँडी बनाउन सक्दैन,Hard Work and Perseverance
255,"अल्छीको खेती केरा, बुद्धिमानको खाना केरा",धेरै दुःख नहुनु,केरा खाएर मान्छे अल्छी हुन्छ,बुद्धिमान मान्छेले मात्र केरा खान्छ,केरा खेती गर्न सजिलो हुन्छ,Hard Work and Perseverance
256,अल्छीको घर तारामण्डल छानो सिवाले भित्तो,अल्छीको केही पनि हुँदैन,अल्छी मान्छेको घरमा ताराहरू बस्छन्,सिवाले भित्तो बनाउँछ,अल्छीको घरमा तारामण्डलले छानो बनाउँछ,Hard Work and Perseverance
257,अल्छीका तिघ्रा सधैँ काम्छ,खान मात्र खोज्ने ।,अल्छी मान्छे सधैँ दौडिरहेका हुन्छन्,अल्छीले धेरै काम गर्छ,अल्छी मान्छे कहिल्यै आराम गर्दैन,Hard Work and Perseverance
258,"अल्छी निद्रा हाइ हाइ, यिनै हुन् कालका भाइ",कुलच्छिन देख्नु ।,अल्छी हुनु राम्रो हो,निद्रा बढी लिनु स्वास्थ्यको लागि फाइदाजनक हुन्छ,हाइ गर्दा ऊर्जा बढ्छ,Hard Work and Perseverance
259,अल्छीलाई बल्छी मर्दलाई जाल,काम गर्न जाँगर चाहिन्छ ।,अल्छी मानिसले माछा मार्न बल्छी प्रयोग गर्छ,मर्द मानिसले जाल फ्याँक्छ,अल्छी र मर्द मानिसहरू माछा मार्न जान्छन्,Hard Work and Perseverance
260,अल्छीलाई आँगन नै परदेश,केही गर्न नसक्ने,आँगन परदेश भए पनि अल्छीले सजिलै काम गर्छ,परदेश जान अल्छीलाई मन पर्छ,अल्छीले परदेशमा मात्र काम गर्न सक्छ,Hard Work and Perseverance
261,अल्प ज्ञान सधैँ बढ्याई,अनपढले पनि बढ्याई गर्न सक्छ ।,अल्प ज्ञानले सधैँ सफलता मिल्छ,थोरै ज्ञानले सबै कुरा बुझ्न सकिन्छ,थोरै ज्ञानले सधैँ सही निर्णय गरिन्छ,Wisdom and Knowledge
262,अल्लारे गाईको भल्लारे बाछो,जस्तै उस्तै हुनु ।,अल्लारे गाईको बाछो सधैं बलियो हुन्छ,अल्लारे गाईको बाछो कहिल्यै हुर्किँदैन,अल्लारे गाईको बाछोले सधैं राम्रो दूध दिन्छ,Social Behavior and Relationships
263,खाई जाउ पाहुना दूध र भात,रमाइलो कुरा गरेको ।,पाहुनालाई सधैं दूध र भात मात्र खुवाउनु पर्छ,पाहुनाले अरु खान पाउँदैनन्,पाहुनालाई धेरै खुवाउन हुँदैन,Social Behavior and Relationships
264,अल्छीका जति जैसीले जान्दैन,अल्छीले अनेक बहना गर्छ,अल्छी मान्छेले सबै कुरा जान्दछ,"अल्छी मान्छेले जति काम गर्छ, अरूले गर्न सक्दैन",अल्छी मान्छेले सधैं सही निर्णय लिन्छ,Hard Work and Perseverance
265,असलको दान न फलिफाप न त मान,न त यता न त उता हुनु ।,असल व्यक्तिले दान गर्दा सधैं हानी मात्र हुन्छ,असलको दानले कहिल्यै राम्रो परिणाम आउँदैन,असल व्यक्तिको दानको कुनै मूल्य हुँदैन,Social Behavior and Relationships
266,"असन्तोषी सदा दुःखी, सन्तोषी सदा सुखी",सधैँभरि सन्तोषी हुनु राम्रो हो ।,असन्तोषी व्यक्तिहरू सधैं खुसी हुन्छन्,सन्तोषी मानिसहरू सधैं दुःखी हुन्छन्,सन्तोषले दुःख ल्याउँछ,Wisdom and Knowledge
267,असल कामको असलै दाम,राम्रो काम गरे राम्रै फल पाइन्छ,असल काम गरे पनि दाम पाइँदैन,असल कामको कुनै मूल्य हुँदैन,राम्रो काम गर्दा घाटा हुन्छ,Hard Work and Perseverance
268,अकवरी सुनलाई कसी लाउनु पर्दैन,राम्रो चिज जाँचिरहनु पर्दैन,सुनलाई कसी लगाउँदा राम्रो देखिन्छ,अकवरले सुनलाई कसी लगाउनुपर्छ,सुनलाई कसी नलगाउँदा बिग्रन्छ,Wisdom and Knowledge
269,"असारको कोदाली साउनका घुम, सराद्देको बाहुन लगनको डुम",यी सबै अति महत्त्वपूर्ण हुन् ।,असारमा कोदाली चलाउन नपर्ने,साउनमा कोदाली घुमाउनु राम्रो हुन्छ,सराद्दे गर्न डुम बोलाउनु राम्रो हुन्छ,Fate and Caution
270,"असारको खडेरी, पुसको भारी",यी नोक्सान गर्ने कुरा हुन् ।,असारमा खडेरी पर्नु राम्रो हुन्छ,पुसमा भारी बोकेर यात्रा गर्नु सजिलो हुन्छ,असार र पुसको मौसम एकै प्रकारको हुन्छ,Nature and Environment
271,असारमा सुरुवाल लगाउनेले मंसिरमा पराल चोर्छ,समयमा काम नगर्ने ।,असारमा सुरुवाल लगाउनेले मंसिरमा धान रोप्छ,मंसिरमा पराल चोर्नेलाई असारमा सुरुवाल लगाउन मन पर्छ,असारमा सुरुवाल लगाउनेले मंसिरमा कपास बोक्छ,Fate and Caution
272,"असारमा डुल्ने, दर्जा पाउने बेलामा भुल्ने",समयको वास्ता खर्च बढी गर्ने ।,असारमा डुल्नाले दर्जा पाउन मद्दत गर्छ,असारमा काम नगरे पनि दर्जा सजिलै पाइन्छ,असारमा डुल्नेले सधैं उच्च दर्जा पाउँछ,Hard Work and Perseverance
273,असीको आम्दानी छैन चौरासीको खर्च,आम्दानीभन्दा खर्च बढी गर्ने,असी पैसा कमाएर चौरासी खर्च गर्नुपर्छ,असी वर्षको उमेरमा मात्र खर्च गर्न पाइन्छ,असी रुपैयाँ कमाएर चौरासी रुपैयाँ बचत गर्नुपर्छ,Fate and Caution
